iso3,proGres_code,gis_name,UNSD_name,main_office,main_office_short,hcr_region,hcr_subregion,code_op,excom,globalid
AFG,AFG,Afghanistan,Afghanistan,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,South-West Asia,AFG ABC,0,{C27A4F32-3F5E-4538-A910-3378F450D5F7}
ALB,ALB,Albania,Albania,Europe,Europe,Europe,South-Eastern Europe,BIH RO ABC,0,{F957DB95-F377-4296-BCB4-E3D4D807A0AA}
DZA,ALG,Algeria,Algeria,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,North Africa,DZA ABC,0,{673553C6-B70C-4BB9-A291-F7C7EAD9AB20}
AND,AND,Andorra,Andorra,Europe,Europe,Europe,"Northern, Western, Central and Southern Europe",RBE,0,{AFDCBDF8-58F1-4C2D-B7A2-523738853D2B}
AGO,ANG,Angola,Angola,Southern Africa,Southern Africa,Africa,Southern Africa,AGO ABC,0,{5387ED89-88FE-4B64-8D0A-358D91458EE2}
AIA,AIA,Anguilla,Anguilla,Americas ,Americas ,Americas,North America and the Caribbean,,,
ATA,ATA,Antarctica,Antarctica,,,,,,0,{C3D0ADC0-3792-4DD6-A697-8996D354C4C5}
ATG,ANT,Antigua and Barbuda,Antigua and Barbuda,Americas ,Americas ,Americas,North America and the Caribbean,USA RO ABC,0,{3FB9910C-086B-4D80-9E55-0EDD7E5DC599}
ARG,ARG,Argentina,Argentina,Americas ,Americas ,Americas,Latin America,ARG RO ABC,0,{C895D1BE-4491-4662-90F1-F85888166270}
ARM,ARM,Armenia,Armenia,Europe,Europe,Europe,Eastern Europe,GEO RO ABC,0,{0BAF0C5A-38A6-42C0-B5B8-FBF90AE583D3}
ABW,ABW,Aruba (K. of the Netherland),Aruba,Americas ,Americas ,Americas,North America and the Caribbean,USA RO ABC,0,{C58F8205-B9CA-4069-9606-8E241BC60C89}
AUS,AUL,Australia,Australia,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,East Asia and the Pacific,AUS RO ABC,0,{4148BF48-CCA6-44DB-8EAE-3CCF094DE28F}
AUT,AUS,Austria,Austria,Europe,Europe,Europe,"Northern, Western, Central and Southern Europe",BEL RO ABC,0,{0C7A35B5-1F07-4964-ACA9-3BE06F898232}
AZE,AZE,Azerbaijan,Azerbaijan,Europe,Europe,Europe,Eastern Europe,GEO RO ABC,0,{472C5827-5462-4798-A273-222FB185C8CF}
BHS,BHS,Bahamas,Bahamas,Americas ,Americas ,Americas,North America and the Caribbean,USA RO ABC,0,{8D9E3C3C-3F7D-4024-A3F6-08FF84E4A61A}
BHR,BAH,Bahrain,Bahrain,Middle East and North Africa,Middle East and North Africa,Middle East and North Africa,Middle East,SAU ABC,0,{A0516B38-183E-44B1-979E-B03E8F7BE2B0}
BGD,BGD,Bangladesh,Bangladesh,Asia and the Pacific,Asia and the Pacific,Asia and the Pacific,South East Asia,BGD ABC,0,{AB3B89F1-4DF6-4348-981E-F73A9905EB8A}
BRB,BAR,Barbados,Barbados,Americas ,Americas ,Americas,North America and the Caribbean,USA RO ABC,0,{AFC63F55-9153-495C-9FEA-1DBB4C6FDD87}
BLR,BLR,Belarus,Belarus,Europe,Europe,Europe,Eastern Europe,BLR ABC,0,{537F373A-88A8-4A49-B70D-D988471FB899}
BEL,BEL,Belgium,Belgium,Europe,Europe,Europe,"Northern, Western, Central and Southern Europe",BEL RO ABC,0,{0BEF615B-0734-4460-9795-E4100F6FA4A3}
BLZ,BZE,Belize,Belize,Americas ,Americas ,Americas,Latin America,PAN RO ABC,0,{2B31B920-4A97-4D55-A95F-F3225889AF9A}
BEN,BEN,Benin,Benin,West and Central Africa,West and Central Africa,Africa,West Africa,SEN RO ABC,0,{5F5253B5-F5CC-4ECE-B7AD-085F4F002782}
BMU,BER,Bermuda (GBR),Bermuda,Americas ,Americas ,The Americas,North America and the Caribbean,,0,{784A8CB2-ADA5-46D5-B7D1-1E6AE917B9E0}
